"CellID","X","Y","RF_Mean_Probability","RF_SD_Probability","RF_Min_Probability","RF_Max_Probability","RF_Prediction_n","Final_Model","Final_Threshold_Method","Final_Threshold","Prospective_P90","Prospectivity_Class"
76,532888.5791,4419989.11,0.0133979858392449,0.00592920705039564,0,0.030890341277438,150,"RF","P90",0.0831089141044258,0,"Below_P90"
77,532913.5791,4419989.11,0.00898719315079212,0.00435890475443336,0,0.0162460492664483,150,"RF","P90",0.0831089141044258,0,"Below_P90"
78,532938.5791,4419989.11,0.00892257814669076,0.00437086027336836,0,0.0162460492664483,150,"RF","P90",0.0831089141044258,0,"Below_P90"
79,532963.5791,4419989.11,0.00892257814669076,0.00437086027336836,0,0.0162460492664483,150,"RF","P90",0.0831089141044258,0,"Below_P90"
80,532988.5791,4419989.11,0.00882458848284005,0.00435071640127249,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
81,531013.5791,4419964.11,0.00639961319927689,0.00410126223180927,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
82,531038.5791,4419964.11,0.00601811186401085,0.00393521764344532,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
83,531063.5791,4419964.11,0.00596255630845529,0.00391878109798395,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
84,531088.5791,4419964.11,0.00596255630845529,0.00391878109798395,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
85,531113.5791,4419964.11,0.0058491331883655,0.00386085286301542,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
86,531138.5791,4419964.11,0.00584715773098041,0.00389996538374124,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
87,531163.5791,4419964.11,0.00584937995320263,0.00388888902701295,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
88,531188.5791,4419964.11,0.00584937995320263,0.00388888902701295,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
89,531213.5791,4419964.11,0.00584937995320263,0.00388888902701295,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
90,531238.5791,4419964.11,0.00588864383266651,0.00393555864422205,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
91,531263.5791,4419964.11,0.00596006209984534,0.00397707934651664,0,0.0178259671826816,150,"RF","P90",0.0831089141044258,0,"Below_P90"
